Nome,Latitude,Longitude,CD_ESTACAO
AFONSO CLAUDIO,-20.10416666,-41.10694444,A657
AIMORES,-19.53277777,-41.09083333,A534
ALEGRE,-20.75055555,-41.48888888,A617
ALFREDO CHAVES,-20.63638888,-40.74194444,A615
ANGRA DOS REIS,-22.97555554,-44.30333333,A628
ARARANGUA,-28.931353,-49.49792,A867
ARRAIAL DO CABO,-22.97527777,-42.02138888,A606
BARRA DO TURVO,-24.96277777,-48.41638888,A746
BARUERI,-23.52388888,-46.86944443,A755
BERTIOGA,-23.84472221,-46.14333333,A765
BOM JARDIM DA SERRA - MORRO DA IGREJA,-28.12694443,-49.47972221,A845
CACHOEIRA PAULISTA,-22.68888888,-45.00555555,A769
CAMAQUA,-30.80805555,-51.83416666,A838
CAMBARA DO SUL,-29.04916666,-50.14972221,A897
CAMBUCI,-21.58749999,-41.95833333,A604
CAMPO BOM,-29.674293,-51.064042,A884
CAMPOS DOS GOYTACAZES,-21.71472222,-41.34388888,A607
CAMPOS DOS GOYTACAZES - SAO TOME,-22.04166666,-41.05166666,A620
CANELA,-29.36888888,-50.82722221,A879
CANGUCU,-31.40333333,-52.70083333,A811
CAPAO DO LEAO (PELOTAS),-31.8025,-52.40722222,A887
CARMO,-21.9386111,-42.60083333,A629
COLOMBO,-25.322464,-49.157733,B806
CURITIBA,-25.4486111,-49.23055554,A807
DUQUE DE CAXIAS - XEREM,-22.58972221,-43.28222221,A603
ECOPORANGA,-18.29138888,-40.73638888,A631
FLORIANOPOLIS,-27.6025,-48.61999999,A806
IGUAPE,-24.67166666,-47.54583333,A712
INDAIAL,-26.91361111,-49.26805554,A817
ITAJAI,-26.95083333,-48.76194444,A868
ITAPOA,-26.08138888,-48.64166666,A851
JAGUARAO,-32.53472221,-53.37583332,A836
LINHARES,-19.35694444,-40.0686111,A614
MACAE,-22.3761111,-41.81194444,A608
MARILANDIA,-19.40722222,-40.53972221,A632
MORRETES,-25.50888888,-48.80861111,A873
MOSTARDAS,-31.24833333,-50.90638888,A878
NITEROI,-22.86749999,-43.10194444,A627
NOVA FRIBURGO - SALINAS,-22.33472221,-42.67694443,A624
PARATY,-23.2236111,-44.72694443,A619
PASSA QUATRO,-22.39583333,-44.96194444,A529
Paty do Alferes - Avelar,-22.34722221,-43.41777777,A637
PICO DO COUTO,-22.46472222,-43.29138888,A610
PORTO ALEGRE - JARDIM BOTANICO,-30.05361111,-51.17472221,A801
PORTO ALEGRE- BELEM NOVO,-30.1861111,-51.17805554,B807
PRESIDENTE KENNEDY,-21.10083333,-41.03944444,A622
RANCHO QUEIMADO,-27.6786111,-49.04194444,A870
REGISTRO,-24.53305554,-47.86416666,A766
RESENDE,-22.45138888,-44.44499999,A609
RIO CLARO,-22.653579,-44.040916,A626
RIO DE JANEIRO - FORTE DE COPACABANA,-22.98833333,-43.19055555,A652
RIO DE JANEIRO - JACAREPAGUA,-22.93999999,-43.40277777,A636
RIO DE JANEIRO - VILA MILITAR,-22.86138888,-43.41138888,A621
RIO DE JANEIRO-MARAMBAIA,-23.05027777,-43.59555555,A602
RIO GRANDE,-32.07888888,-52.16777777,A802
SANTA MARIA MADALENA,-21.95055555,-42.01027777,A630
SANTA TERESA,-19.98833333,-40.57944443,A613
Santa Vitoria do Palmar - Barra do Chui,-33.74222221,-53.37222221,A899
SAO JOSE DOS AUSENTES,-28.7486111,-50.05777777,A829
SAO LUIZ DO PARAITINGA,-23.22833332,-45.41694443,A740
SAO MATEUS,-18.6761111,-39.86416666,A616
SAO PAULO - INTERLAGOS,-23.72444443,-46.67749999,A771
SAO PAULO - MIRANTE,-23.49638888,-46.61999999,A701
SAQUAREMA - SAMPAIO CORREIA,-22.8711111,-42.60888888,A667
SEROPEDICA-ECOLOGIA AGRICOLA,-22.75777777,-43.68472221,A601
SERRA DOS AIMORES,-17.79888888,-40.25,A522
SILVA JARDIM,-22.64583333,-42.41555555,A659
TAUBATE,-23.04166666,-45.52083332,A728
TERESOPOLIS-PARQUE NACIONAL,-22.4486111,-42.98694444,A618
TRAMANDAI,-30.01027777,-50.13583333,A834
URUSSANGA,-28.53249999,-49.31527777,A814
VENDA NOVA DO IMIGRANTE,-20.38555555,-41.18999999,A633
VILA VELHA,-20.46694443,-40.40388888,A634
VITORIA,-20.27083332,-40.30583333,A612
